Cox7a2l
Cyct
Cyct
Cycs
Cycs
Uqcrc2
Ndufa10
Ndufa10
Ndufb8
Bdnf
Cox5b
Cox5a
Cox4i1
Ndufb6
Ndufa7
Cyc1
Cyc1
mt-Co1
mt-Co3
mt-Co3
mt-Cytb
mt-Cytb
mt-Nd2
mt-Nd2
mt-Nd3
mt-Nd4
mt-Nd5
mt-Nd6
mt-Nd6
Cox6a1
Cox7a2
Cox7a1
Sdha
Sdha
Ndufaf1
mt-Nd1
Afg1l
Ndufv2
Ndufv2
Cox8a
Cox8b
Ndufb9
Uqcrfs1
Uqcrfs1
Uqcr10
Uqcr10
Dnajc15
Sdhaf2
Sdhaf2
Sdhc
Sdhc
Uqcr11
Uqcrh
Uqcrh
Sdhd
Sdhd
Cox6a2
Cox4i2
Cox4i2
Coq9
Coq9
Dld
Ndufs1
Uqcc3
Uqcc3
Uqcrc1
Uqcrc1
Ndufv1
Uqcrq
Uqcrq
Cox6c
Ndufs8
Ndufs8
Ndufc2
Ndufs3
Ndufs3
Ndufs3
Ndufs6
Cox8c
Ndufs7
Ndufa8
Sdhb
Cox7c
Ndufs2
Ndufs2
Ndufs2
Uqcrb
Uqcrb
