Phb2
Cox6a1
Fdx1
Cox7c
Nqo2
Cox6c
Gpx4
Cox8a
Cox7a2l
Etfa
Etfb
Etfdh
Tomm70a
Atp5o
Atp5k
Hccs
Vdac2
Vdac1
Vdac3
Dld
Cox6b1
Atp5g1
Ndufa4
Bckdha
Atp5j
Atp5b
Uqcrq
Ndufv1
Uqcrc1
Ndufs6
Nnt
Casp7
Abcb7
Atp6ap1
Fxn
Ogdh
Cpt1a
Acaa2
Idh3g
Atp5pb
Atp5c1
Sucla2
Cox7a2
Atp6v0e
Cox17
Hsd17b10
Grpel1
Ndufa2
Timm17a
Ndufs4
Ndufc2
Mrps12
Polr2f
Aifm1
Tcirg1
Pdk4
Pdhx
Mrpl15
Timm8b
Timm10
Timm13
Timm9
Slc25a4
Slc25a5
Slc25a3
Atp5e
Ech1
Mtx2
Atp6v0b
Mtrr
Atp5d
Ndufb5
Sdhc
Ndufa3
Ndufa9
Cox7b
Atp6v1f
Uqcr10
Mrpl35
Atp6v1g1
Atp6v1c1
Ndufc1
Iscu
Mrps15
Ndufa7
Cyc1
Mgst3
Ndufb3
Timm50
Uqcrh
Uqcr11
Uqcrfs1
Acadsb
Ndufb7
Sdhd
Sdha
Uqcrc2
Ndufa6
Ndufb8
Retsat
Decr1
Uqcrb
Atp6v1h
Sdhb
Aldh6a1
Idh3a
Slc25a11
Mpc1
Mrps11
Ndufb2
Ndufa5
Pdhb
Ndufs3
Ndufa8
Oxa1l
Afg3l2
Bdh2
Cox11
Ndufab1
Cox10
Pmpca
Atp5h
Lrpprc
Cox15
Ndufv2
Atp6v1d
Opa1
Ndufs7
Immt
Rhot1
Slc25a12
Dlst
Mrps30
Cyb5a
Suclg1
Atp5j2
Mrps22
Htra2
Slc25a20
Ndufa1
Hadha
Hadhb
Echs1
Mrpl11
Mrpl34
Acaa1a
Idh3b
Mtrf1
Rhot2
Ndufs8
Ndufs2
Dlat
Supv3l1
Atp5g3
Mfn2
Ndufs1
Tomm22
Ndufb6
Pdp1
AK157302
Gm10053
Acadm
Acat1
Aco2
Alas1
Prdx3
Atp1b1
Atp5a1
Atp6v0c
Cox4i1
Cox5a
Cox5b
Cs
Phyh
Atp6v1e1
Acadvl
Eci1
Cyb5r3
Fh1
Glud1
Got2
Gpi1
Hspa9
Idh1
Idh2
Ldha
Ldhb
Maob
Mdh2
Mdh1
Oat
Pdha1
Por
Surf1
Bax
