Etfb
Suclg2
Suclg2
Etfa
Cox7a2l
Sucla2
Sucla2
Atp5o
Atp5o
Cyp1a2
Cyct
Cyct
Cycs
Cycs
Atp5k
Uqcrc2
Uqcrc2
Atp5c1
Nipsnap2
Ndufa10
Ndufa10
Ndufa10
Ndufa10
Ndufb8
Ndufb8
Ndufb8
Ndufa13
Ndufa13
Mir451b
Cat
Bdnf
Cs
Cs
Mtfr1l
Cox5b
Cox5a
Cox4i1
Mybbp1a
Sod2
Sod2
Ndufs4
Ndufs4
Ndufs4
Ndufs4
Ndufs4
Ndufa2
Ndufa2
Ndufab1
Ndufab1
Atp5d
Atp5d
Ndufb5
Ndufb5
Ndufb6
Ndufb6
Ndufb6
Ndufb6
Ndufb6
Ogdhl
Ogdhl
Bloc1s1
Fxn
Fxn
Fxn
Fxn
Sirt3
Plec
Coq10a
Suclg1
Suclg1
Stoml2
Immp2l
Tafazzin
1700066M21Rik
Ndufa7
Ndufa7
Ndufa7
Ndufa7
Cyc1
Cyc1
Cyc1
Ndufa11
Ndufa11
Ndp
mt-Co1
mt-Co1
mt-Co2
mt-Co3
mt-Co3
mt-Co3
mt-Cytb
mt-Cytb
mt-Cytb
mt-Cytb
mt-Nd2
mt-Nd2
mt-Nd2
mt-Nd2
mt-Nd3
mt-Nd3
mt-Nd3
mt-Nd4
mt-Nd4
mt-Nd4
mt-Nd4
mt-Nd4
mt-Nd4l
mt-Nd4l
mt-Nd4l
mt-Nd5
mt-Nd5
mt-Nd5
mt-Nd5
mt-Nd6
mt-Nd6
mt-Nd6
mt-Nd6
Cox6a1
Cox7a2
Cox7a1
Cox10
Sdha
Sdha
Sdha
Sdha
Sdha
Sdha
Ndufb7
Ndufb7
mt-Atp6
Pdha2
Pdha1
Ndufaf1
Nr4a3
Oxa1l
Pink1
Msh2
Msh2
Atp5e
Idh3b
Idh3b
Idh3b
Mup1
Mdh1
Mdh2
Mdh2
Mdh2
Mdh2
Atp5pb
Dlst
Dlst
Slc25a12
Slc25a12
Slc25a12
Slc25a12
Bid
Vps54
Ndufb1
Ndufb1
mt-Nd1
mt-Nd1
mt-Nd1
mt-Nd1
Mtfr1
Mtfr1
Dhtkd1
mt-Atp8
Afg1l
Aco2
Aco2
Aco2
Aco2
Aco1
Ndufv2
Ndufv2
Ndufv2
Ndufv2
Ndufa12
Ndufa12
Ndufa12
Ndufc1
Ndufc1
Cox8a
Cox8b
Atp5j2
Atp5j2
Ndufb11
Ndufb11
Ndufb9
Ndufb9
Ndufb9
Uqcrfs1
Uqcrfs1
Uqcrfs1
Nfatc4
Ppargc1a
Aifm1
Uqcr10
Uqcr10
Uqcr10
Snca
Dnajc15
Mrps36
Ndufa9
Ndufa9
Ndufa3
Ndufa3
Sdhaf2
Sdhaf2
Sdhaf2
Sdhc
Sdhc
Sdhc
Sdhc
Idh3g
Idh3g
Idh3g
Uqcr11
Uqcr11
Uqcrh
Uqcrh
Uqcrh
Ndufb3
Ndufb3
Mdh1b
Chchd5
Atp5a1
Dguok
Csl
Csl
Sdhd
Sdhd
Sdhd
Sdhd
Sdhd
Sdhd
Mtfr2
Mtfr2
Slc25a18
Ndufs5
Ndufs5
Mtch2
Cox6a2
Cox4i2
Cox4i2
Coq9
Coq9
Coa6
Coa6
Coa6
Mtln
Coq10b
Idh3a
Idh3a
Idh3a
Dld
Ndufs1
Ndufs1
Ndufs1
Ndufs1
Ndufs1
Slc1a3
Uqcc3
Uqcc3
Slc37a2
Ndufa1
Ndufa1
Lyrm7
Lyrm7
Uqcrc1
Uqcrc1
Uqcrc1
Ndufv1
Ndufv1
Ndufv1
Ndufv1
Ndufa5
Ndufa5
Ndufa5
Ndufa5
Ndufb2
Ndufb2
Ndufb4
Ndufb4
Uqcrq
Uqcrq
Uqcrq
Atp5b
Atp5b
Atp5j
Slc25a25
Idh2
Idh1
Tefm
Cox6c
Ogdh
Ogdh
Bax
Slc25a13
Slc25a13
Slc25a13
Slc25a13
Ndufs8
Ndufs8
Ndufs8
Ndufs8
Aifm2
Aifm2
Ndufv3
Ndufv3
Ndufv3
Ndufv3
Pum2
Pank2
Chchd10
Ndufc2
Ndufc2
Ndufc2
Atp5h
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufs3
Ndufb10
Ndufb10
Ndufs6
Ndufs6
Ndufs6
Ndufs6
Slc25a22
Pdhb
Sco2
Sco2
Cox8c
Ndufs7
Ndufs7
Ndufs7
Ndufs7
Ucn
Sdhaf4
Sdhaf4
Ndufa8
Ndufa8
Ndufa8
Polg2
Coq7
Coq7
Coq7
Ireb2
Nfatc3
Fh1
Fh1
Fh1
Dlat
Sdhb
Sdhb
Sdhb
Sdhb
Sdhb
Sdhb
Cox7c
Adsl
Ndufs2
Ndufs2
Ndufs2
Ndufs2
Ndufs2
Ndufs2
Gpd1
Gba
Etfrf1
Etfrf1
Uqcrb
Uqcrb
Uqcrb
Norad
Mir451a
Ndufa6
Ndufa6
4933405O20Rik
Hoxb3os
Etfdh
Etfdh
