Cd86
Traf1
Pou2f1
Ecm1
Serpinb6a
Cish
Fgl2
Tiam1
Tnfrsf4
Cdkn1c
Penk
Rora
Gpx4
Ltb
Ahr
Slc1a5
Il4ra
Ptch1
Adam19
Il18r1
Nrp1
Myo1c
Myo1e
Tnfsf10
Capn3
Scn9a
Ifngr1
Casp3
Gadd45b
Ccr4
Nop2
Lrig1
Emp1
Rhob
Gpr65
Rgs16
Plpp1
Ncs1
Mapkapk2
Nfil3
Bmpr2
Cd81
Irf4
Phlda1
Bhlhe40
Capg
Amacr
Rragd
Fam126b
She
Tnfsf11
Plagl1
Tnfrsf9
Rnh1
Dennd5a
Eomes
Map6
Socs2
Ncoa3
Plec
Coch
F2rl2
Cst7
Itgae
Umps
Swap70
Alcam
Hipk2
Tnfrsf1b
Hk2
Dhrs3
Ahnak
St3gal4
Cd83
Syngr2
Cyfip1
P2rx4
S100a1
Csf2
Csf1
Ndrg1
Gsto1
Ikzf2
Ikzf4
Spry4
Cdc6
Slc29a2
Klf6
Map3k8
Cxcl10
Rabgap1l
Socs1
Icos
Batf
Irf6
Syt11
Praf2
Gucy1b1
Ctsz
Ifitm3
Snx9
Slc39a8
Gabarapl1
Eef1akmt1
Pdcd2l
Sh3bgrl2
Wls
Phtf2
Dcps
Hopx
Ttc39b
Glipr2
Cdc42se2
Rhoh
Batf3
Itih5
Gbp3
Huwe1
Pus1
Smpdl3a
Nfkbiz
Uck2
Twsg1
Lrrc8c
Spred2
Tnfrsf21
Snx14
Tlr7
Cdcp1
Galm
Etfbkmt
Ptrh2
Ckap4
Lclat1
Drc1
Ahcyl
Plin2
Anxa4
Aplp1
Serpinc1
Bcl2
Bcl2l1
Bmp2
Car2
Ccnd2
Ccnd3
Ccne1
Cd44
Cd48
Col6a1
Ctla4
Plscr1
Ager
Tnfrsf18
Eno3
Fah
Flt3l
Gata1
Gpr83
Slc2a3
Irf8
Cd79b
Igf1r
Igf2r
Il10
Il10ra
Il13
Il1r2
Il2ra
Il2rb
Il3ra
Itga6
Itgav
Lif
Mxd1
Maff
Muc1
Myc
Pnp
Enpp1
Odc1
P4ha1
Furin
Abcb1a
Pim1
Prkch
Prnp
Ptger2
Pth1r
Sell
Selp
Spp1
Il1rl1
Tgm2
Xbp1
Etv4
Arl4a
Nt5e
Tnfrsf8
